City name,Url
Wuppertal,https://darkpeakanalytics.shinyapps.io/lcd_query/?SK_Wuppertal
Kleve,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Kleve
Mettmann,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Mettmann
Rhein-Kreis Neuss,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Rhein-Kreis_Neuss
Viersen,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Viersen
Wesel,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Wesel
Bonn,https://darkpeakanalytics.shinyapps.io/lcd_query/?SK_Bonn
Köln,https://darkpeakanalytics.shinyapps.io/lcd_query/?SK_Köln
Leverkusen,https://darkpeakanalytics.shinyapps.io/lcd_query/?SK_Leverkusen
Städteregion Aachen,https://darkpeakanalytics.shinyapps.io/lcd_query/?StadtRegion_Aachen
Düren,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Düren
Rhein-Erft-Kreis,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Rhein-Erft-Kreis
Euskirchen,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Euskirchen
Heinsberg,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Heinsberg
Oberbergischer Kreis,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Oberbergischer_Kreis
Rheinisch-Bergischer Kreis,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Rheinisch-Bergischer_Kreis
Rhein-Sieg-Kreis,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Rhein-Sieg-Kreis
Bottrop,https://darkpeakanalytics.shinyapps.io/lcd_query/?SK_Bottrop
Gelsenkirchen,https://darkpeakanalytics.shinyapps.io/lcd_query/?SK_Gelsenkirchen
Münster,https://darkpeakanalytics.shinyapps.io/lcd_query/?SK_Münster
Borken,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Borken
Coesfeld,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Coesfeld
Recklinghausen,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Recklinghausen
Steinfurt,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Steinfurt
Warendorf,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Warendorf
Bielefeld,https://darkpeakanalytics.shinyapps.io/lcd_query/?SK_Bielefeld
Gütersloh,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Gütersloh
Herford,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Herford
Höxter,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Höxter
Lippe,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Lippe
Minden-Lübbecke,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Minden-Lübbecke
Paderborn,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Paderborn
Bochum,https://darkpeakanalytics.shinyapps.io/lcd_query/?SK_Bochum
Dortmund,https://darkpeakanalytics.shinyapps.io/lcd_query/?SK_Dortmund
Hagen,https://darkpeakanalytics.shinyapps.io/lcd_query/?SK_Hagen
Hamm,https://darkpeakanalytics.shinyapps.io/lcd_query/?SK_Hamm
Herne,https://darkpeakanalytics.shinyapps.io/lcd_query/?SK_Herne
Ennepe-Ruhr-Kreis,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Ennepe-Ruhr-Kreis
Hochsauerlandkreis,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Hochsauerlandkreis
Märkischer Kreis,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Märkischer_Kreis
Olpe,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Olpe
Siegen-Wittgenstein,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Siegen-Wittgenstein
Soest,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Soest
Unna,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Unna
Darmstadt,https://darkpeakanalytics.shinyapps.io/lcd_query/?SK_Darmstadt
Frankfurt am Main,https://darkpeakanalytics.shinyapps.io/lcd_query/?SK_Frankfurt_am_Main
Offenbach am Main,https://darkpeakanalytics.shinyapps.io/lcd_query/?SK_Offenbach
Wiesbaden,https://darkpeakanalytics.shinyapps.io/lcd_query/?SK_Wiesbaden
Bergstraße,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Bergstraße
Darmstadt-Dieburg,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Darmstadt-Dieburg
Groß-Gerau,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Groß-Gerau
Hochtaunuskreis,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Hochtaunuskreis
Main-Kinzig-Kreis,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Main-Kinzig-Kreis
Main-Taunus-Kreis,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Main-Taunus-Kreis
Odenwaldkreis,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Odenwaldkreis
Offenbach,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Offenbach
Rheingau-Taunus-Kreis,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Rheingau-Taunus-Kreis
Wetteraukreis,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Wetteraukreis
Gießen,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Gießen
Lahn-Dill-Kreis,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Lahn-Dill-Kreis
Limburg-Weilburg,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Limburg-Weilburg
Marburg-Biedenkopf,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Marburg-Biedenkopf
Vogelsbergkreis,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Vogelsbergkreis
Kassel,https://darkpeakanalytics.shinyapps.io/lcd_query/?SK_Kassel
Fulda,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Fulda
Hersfeld-Rotenburg,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Hersfeld-Rotenburg
Kassel,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Kassel
Schwalm-Eder-Kreis,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Schwalm-Eder-Kreis
Waldeck-Frankenberg,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Waldeck-Frankenberg
Werra-Meißner-Kreis,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Werra-Meißner-Kreis
Koblenz,https://darkpeakanalytics.shinyapps.io/lcd_query/?SK_Koblenz
Ahrweiler,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Ahrweiler
Altenkirchen (Westerwald),https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Altenkirchen
Bad Kreuznach,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Bad_Kreuznach
Birkenfeld,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Birkenfeld
Cochem-Zell,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Cochem-Zell
Mayen-Koblenz,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Mayen-Koblenz
Neuwied,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Neuwied
Rhein-Hunsrück-Kreis,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Rhein-Hunsrück-Kreis
Rhein-Lahn-Kreis,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Rhein-Lahn-Kreis
Westerwaldkreis,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Westerwaldkreis
Trier,https://darkpeakanalytics.shinyapps.io/lcd_query/?SK_Trier
Bernkastel-Wittlich,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Bernkastel-Wittlich
Eifelkreis Bitburg-Prüm,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Bitburg-Prüm
Vulkaneifel,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Vulkaneifel
Trier-Saarburg,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Trier-Saarburg
Frankenthal (Pfalz),https://darkpeakanalytics.shinyapps.io/lcd_query/?SK_Frankenthal
Kaiserslautern,https://darkpeakanalytics.shinyapps.io/lcd_query/?SK_Kaiserslautern
Landau in der Pfalz,https://darkpeakanalytics.shinyapps.io/lcd_query/?SK_Landau_i.d.Pfalz
Ludwigshafen am Rhein,https://darkpeakanalytics.shinyapps.io/lcd_query/?SK_Ludwigshafen
Mainz,https://darkpeakanalytics.shinyapps.io/lcd_query/?SK_Mainz
Neustadt an der Weinstraße,https://darkpeakanalytics.shinyapps.io/lcd_query/?SK_Neustadt_a.d.Weinstraße
Pirmasens,https://darkpeakanalytics.shinyapps.io/lcd_query/?SK_Pirmasens
Speyer,https://darkpeakanalytics.shinyapps.io/lcd_query/?SK_Speyer
Worms,https://darkpeakanalytics.shinyapps.io/lcd_query/?SK_Worms
Zweibrücken,https://darkpeakanalytics.shinyapps.io/lcd_query/?SK_Zweibrücken
Alzey-Worms,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Alzey-Worms
Bad Dürkheim,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Bad_Dürkheim
Donnersbergkreis,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Donnersbergkreis
Germersheim,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Germersheim
Kaiserslautern,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Kaiserslautern
Kusel,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Kusel
Südliche Weinstraße,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Südliche_Weinstraße
Rhein-Pfalz-Kreis,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Rhein-Pfalz-Kreis
Mainz-Bingen,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Mainz-Bingen
Südwestpfalz,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Südwestpfalz
Stuttgart,https://darkpeakanalytics.shinyapps.io/lcd_query/?SK_Stuttgart
Böblingen,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Böblingen
Esslingen,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Esslingen
Göppingen,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Göppingen
Ludwigsburg,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Ludwigsburg
Rems-Murr-Kreis,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Rems-Murr-Kreis
Heilbronn,https://darkpeakanalytics.shinyapps.io/lcd_query/?SK_Heilbronn
Heilbronn,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Heilbronn
Hohenlohekreis,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Hohenlohekreis
Schwäbisch Hall,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Schwäbisch_Hall
Main-Tauber-Kreis,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Main-Tauber-Kreis
Heidenheim,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Heidenheim
Ostalbkreis,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Ostalbkreis
Baden-Baden,https://darkpeakanalytics.shinyapps.io/lcd_query/?SK_Baden-Baden
Karlsruhe,https://darkpeakanalytics.shinyapps.io/lcd_query/?SK_Karlsruhe
Karlsruhe,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Karlsruhe
Rastatt,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Rastatt
Heidelberg,https://darkpeakanalytics.shinyapps.io/lcd_query/?SK_Heidelberg
Mannheim,https://darkpeakanalytics.shinyapps.io/lcd_query/?SK_Mannheim
Neckar-Odenwald-Kreis,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Neckar-Odenwald-Kreis
Rhein-Neckar-Kreis,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Rhein-Neckar-Kreis
Pforzheim,https://darkpeakanalytics.shinyapps.io/lcd_query/?SK_Pforzheim
Calw,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Calw
Enzkreis,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Enzkreis
Freudenstadt,https://darkpeakanalytics.shinyapps.io/lcd_query/?LK_Freudenstadt
Freiburg im Breisgau,https://darkpeakanalytics.shinyapps.io/lcd_query/?SK_Freiburg_i.Breisgau
